month,region,category,sales,orders,refund_rate
2024-01,East,Electronics,120000,820,0.02
2024-01,West,Electronics,98000,710,0.03
2024-01,East,Home,64000,540,0.01
2024-01,West,Home,51000,430,0.02
2024-02,East,Electronics,132000,860,0.02
2024-02,West,Electronics,101000,740,0.025
2024-02,East,Home,67000,560,0.015
2024-02,West,Home,54000,450,0.02
2024-03,East,Electronics,141000,900,0.018
2024-03,West,Electronics,110000,780,0.022
2024-03,East,Home,70000,580,0.012
2024-03,West,Home,56000,470,0.019
2024-04,East,Electronics,125000,840,0.03
2024-04,West,Electronics,93000,690,0.04
2024-04,East,Home,62000,510,0.02
2024-04,West,Home,48000,400,0.03
2024-05,East,Electronics,118000,800,0.035
2024-05,West,Electronics,89000,660,0.045
2024-05,East,Home,59000,490,0.025
2024-05,West,Home,45000,380,0.035
2024-06,East,Electronics,109000,760,0.04
2024-06,West,Electronics,82000,610,0.05
2024-06,East,Home,55000,460,0.03
2024-06,West,Home,41000,350,0.04
